ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N
5513,C,Ship,6,5,$266,4,medium,F,6,1312,FALSE
5514,F,Ship,4,1,$233,4,low,M,2,1809,TRUE
5515,D,Ship,5,3,$287,4,low,M,2,1437,TRUE
5516,F,Ship,6,5,$268,4,low,M,10,1170,TRUE
5517,A,Ship,6,2,$290,4,medium,M,2,1070,FALSE
5518,B,Ship,7,4,$291,4,high,M,4,1248,FALSE
5519,C,Ship,5,3,$227,5,medium,M,2,1965,TRUE
5520,F,Ship,3,5,$222,2,low,M,9,1321,TRUE
5521,D,Ship,6,5,$301,4,medium,F,2,1943,TRUE
5522,F,Ship,6,2,$304,4,medium,F,10,1983,FALSE
5523,A,Ship,4,2,$133,3,low,M,2,1212,FALSE
5524,B,Ship,4,1,$218,5,low,F,5,1238,TRUE
5525,C,Ship,5,5,$304,5,low,F,8,1949,FALSE
5526,F,Ship,6,1,$260,4,medium,M,9,1698,FALSE
5527,D,Ship,6,5,$252,4,low,F,9,1460,TRUE
5528,F,Ship,4,2,$253,5,low,M,5,1812,TRUE
5529,A,Ship,6,4,$248,4,low,F,6,1851,TRUE
5530,B,Ship,5,3,$237,5,medium,F,4,1733,FALSE
5531,C,Ship,5,3,$264,5,medium,F,5,1399,TRUE
5532,F,Ship,6,1,$308,4,medium,M,1,1216,FALSE
5533,D,Ship,7,3,$270,4,medium,F,10,1211,TRUE
5534,F,Ship,6,3,$269,4,medium,F,6,1822,FALSE
5535,A,Ship,6,1,$271,4,low,F,9,1302,TRUE
5536,B,Ship,7,1,$244,5,medium,F,3,1418,FALSE
5537,C,Ship,6,2,$245,4,low,F,8,1904,TRUE
5538,F,Ship,5,4,$219,5,low,M,5,1388,FALSE
5539,D,Ship,6,2,$257,4,low,F,4,1929,FALSE
5540,F,Ship,3,3,$226,3,low,M,4,5048,TRUE
5541,A,Ship,4,4,$200,2,low,M,5,5783,TRUE
5542,B,Ship,4,4,$260,2,low,M,3,5801,TRUE
5543,C,Ship,3,4,$142,2,medium,F,7,5346,TRUE
5544,F,Ship,5,3,$193,5,medium,M,3,5888,TRUE
5545,D,Ship,5,2,$180,3,medium,M,1,4655,FALSE
5546,F,Ship,4,3,$232,3,medium,F,8,5298,FALSE
5547,A,Ship,3,2,$148,2,low,F,1,4133,FALSE
5548,B,Ship,5,3,$205,4,low,M,9,4277,TRUE
5549,C,Ship,3,4,$212,3,medium,F,3,4811,TRUE
5550,F,Ship,3,4,$168,2,medium,M,9,5235,FALSE
5551,D,Ship,3,5,$145,2,low,F,2,4232,FALSE
5552,F,Ship,3,5,$253,3,medium,M,9,5979,FALSE
5553,A,Ship,3,5,$143,2,low,F,6,4253,TRUE
5554,B,Ship,4,2,$267,5,low,M,9,4720,FALSE
5555,C,Ship,6,1,$123,5,medium,M,5,5323,FALSE
5556,F,Ship,5,1,$106,5,medium,F,4,4180,TRUE
5557,D,Ship,2,2,$249,3,low,F,3,4129,FALSE
5558,F,Ship,5,1,$178,2,low,F,5,4369,TRUE
5559,A,Ship,4,3,$148,4,low,F,1,4243,TRUE
5560,B,Ship,4,1,$144,4,medium,M,6,5197,FALSE
5561,C,Ship,3,1,$249,2,low,F,2,5572,FALSE
5562,F,Ship,5,5,$128,3,low,M,9,5143,FALSE
5563,D,Ship,4,4,$228,4,high,M,1,5573,TRUE
5564,F,Ship,3,4,$242,2,low,F,10,5559,FALSE
5565,A,Ship,4,2,$272,3,medium,F,1,4933,FALSE
5566,B,Ship,4,1,$173,2,medium,F,8,4893,TRUE
5567,C,Ship,3,2,$189,6,low,M,7,4329,TRUE
5568,F,Ship,4,2,$245,2,low,M,3,4000,TRUE
5569,D,Ship,4,1,$211,3,high,M,5,5757,FALSE
5570,F,Ship,2,1,$214,3,high,M,1,4391,TRUE
5571,A,Ship,5,4,$215,2,low,F,1,5669,TRUE
5572,B,Ship,3,1,$248,2,medium,M,1,5703,TRUE
5573,C,Ship,3,1,$225,3,medium,M,2,4284,TRUE
5574,F,Ship,5,1,$120,3,low,M,7,4381,FALSE
5575,D,Ship,5,2,$243,3,low,F,8,4133,FALSE
5576,F,Ship,3,4,$214,2,low,M,10,4794,TRUE
5577,A,Ship,3,1,$144,3,low,F,8,5221,FALSE
5578,B,Ship,3,1,$242,6,low,M,10,5493,FALSE
5579,C,Ship,4,5,$160,5,medium,F,3,4648,FALSE
5580,F,Ship,5,5,$139,4,medium,F,3,4433,FALSE
5581,D,Ship,3,1,$221,4,medium,F,8,5971,TRUE
5582,F,Ship,5,5,$266,2,medium,M,7,5712,FALSE
5583,A,Ship,5,4,$140,4,low,F,10,4528,TRUE
5584,B,Ship,4,4,$134,2,low,M,1,5209,FALSE
5585,C,Ship,3,3,$260,2,low,M,7,5738,TRUE
5586,F,Ship,5,4,$261,6,medium,F,4,5349,TRUE
5587,D,Ship,5,2,$274,4,medium,F,7,4929,TRUE
5588,F,Ship,4,5,$263,3,medium,M,3,4020,TRUE
5589,A,Ship,4,4,$189,4,medium,F,9,5838,FALSE
5590,B,Ship,4,5,$257,2,low,M,3,5394,TRUE
5591,C,Road,5,5,$195,4,medium,M,1,4482,TRUE
5592,F,Road,2,3,$201,3,medium,M,5,5733,FALSE
5593,D,Road,4,4,$264,4,medium,M,9,5186,TRUE
5594,F,Road,3,2,$180,2,high,M,10,4024,TRUE
5595,A,Road,3,1,$220,3,low,F,6,5572,FALSE
5596,B,Road,5,1,$113,3,medium,F,6,5509,FALSE
5597,C,Road,4,2,$168,2,high,F,9,5684,TRUE
5598,F,Road,5,2,$251,3,low,M,9,4298,FALSE
5599,D,Road,4,2,$245,3,medium,F,2,4835,FALSE
5600,F,Road,4,4,$164,4,medium,F,1,4365,FALSE
5601,A,Road,3,1,$232,2,medium,M,4,5806,FALSE
5602,B,Road,4,3,$138,3,high,M,2,5358,TRUE
5603,C,Road,4,2,$233,3,low,F,3,5740,FALSE
5604,F,Road,4,4,$150,2,medium,F,1,4711,FALSE
5605,D,Road,3,5,$253,2,medium,M,7,5846,TRUE
5606,F,Road,4,4,$179,3,medium,M,5,4061,FALSE
5607,A,Road,5,2,$135,2,medium,M,4,5405,TRUE
5608,B,Road,3,1,$166,2,medium,F,9,5853,FALSE
5609,C,Road,3,4,$196,2,medium,F,5,4342,FALSE
5610,F,Road,4,4,$238,2,low,F,4,4337,FALSE
5611,D,Road,2,2,$159,6,low,F,6,4044,TRUE
5612,F,Road,3,5,$226,2,medium,M,3,4208,FALSE
5613,A,Flight,5,1,$182,5,high,F,6,5398,TRUE
5614,B,Flight,5,5,$173,3,low,M,4,5265,FALSE
5615,C,Flight,3,2,$257,5,low,M,5,4130,FALSE
5616,F,Flight,2,3,$223,3,low,F,9,5653,TRUE
5617,D,Flight,4,2,$194,3,low,F,3,5174,TRUE
5618,F,Flight,5,4,$281,3,low,F,10,5675,TRUE
5619,A,Flight,5,4,$236,3,medium,F,1,5711,TRUE
5620,B,Flight,3,5,$165,4,low,M,6,4795,FALSE
5621,C,Flight,4,2,$200,2,low,F,8,4222,TRUE
5622,F,Flight,3,3,$168,4,low,F,2,4541,FALSE
5623,D,Flight,4,3,$266,6,medium,F,5,5209,TRUE
5624,F,Flight,2,1,$226,2,medium,F,1,5576,TRUE
5625,A,Flight,5,3,$143,2,medium,M,5,5612,FALSE
5626,B,Flight,4,2,$116,3,low,F,2,5602,FALSE
5627,C,Flight,4,4,$139,2,high,F,9,4446,FALSE
5628,F,Flight,4,3,$248,2,medium,F,2,4700,TRUE
5629,D,Flight,5,4,$135,2,low,M,5,5834,TRUE
5630,F,Flight,4,4,$265,2,medium,F,9,4106,TRUE
5631,A,Flight,5,5,$175,6,medium,F,2,4995,FALSE
5632,B,Flight,6,2,$256,3,medium,M,1,4435,FALSE
5633,C,Flight,5,4,$217,2,medium,F,3,5925,TRUE
5634,F,Flight,4,4,$203,3,medium,M,8,4443,TRUE
5635,D,Ship,3,4,$145,2,high,F,5,5513,TRUE
5636,F,Ship,3,2,$268,3,low,M,9,4215,TRUE
5637,A,Ship,4,5,$206,2,medium,F,10,4437,TRUE
5638,B,Ship,3,2,$215,3,medium,F,10,4198,FALSE
5639,C,Ship,4,1,$177,3,medium,F,5,4382,TRUE
5640,F,Ship,3,3,$183,3,low,F,3,5538,TRUE
5641,D,Ship,4,2,$227,5,medium,M,6,4618,TRUE
5642,F,Ship,4,1,$209,4,medium,F,1,5057,TRUE
5643,A,Ship,4,4,$193,3,low,M,5,5090,FALSE
5644,B,Ship,4,4,$144,2,low,M,5,4380,FALSE
5645,C,Ship,4,2,$192,3,low,F,3,4130,FALSE
5646,F,Ship,2,3,$247,4,low,M,5,5725,TRUE
5647,D,Ship,3,4,$199,4,medium,F,6,5207,TRUE
5648,F,Ship,6,5,$273,5,medium,M,10,5756,FALSE
5649,A,Ship,3,3,$232,4,low,F,4,4662,FALSE
5650,B,Ship,3,5,$214,3,low,F,6,5319,TRUE
5651,C,Ship,5,1,$156,2,low,M,10,5086,TRUE
5652,F,Ship,4,3,$200,3,medium,M,5,5108,TRUE
5653,D,Ship,3,5,$196,3,medium,F,9,4741,FALSE
5654,F,Ship,5,3,$189,3,medium,F,7,5830,FALSE
5655,A,Ship,5,2,$266,2,low,M,3,4030,TRUE
5656,B,Ship,4,4,$198,2,medium,M,2,5725,FALSE
5657,C,Ship,4,5,$144,2,low,M,2,4978,TRUE
5658,F,Ship,4,4,$217,5,medium,M,6,5891,FALSE
5659,D,Ship,5,1,$169,4,medium,M,4,4541,TRUE
5660,F,Ship,3,1,$153,4,medium,F,1,4608,TRUE
5661,A,Ship,4,4,$152,2,medium,F,5,5324,TRUE
5662,B,Ship,5,5,$245,5,medium,F,4,4627,TRUE
5663,C,Ship,4,2,$237,3,low,M,2,5277,TRUE
5664,F,Ship,4,2,$266,2,low,F,8,5516,TRUE
5665,D,Ship,4,5,$216,4,medium,F,1,4458,FALSE
5666,F,Ship,3,4,$186,3,medium,F,4,5501,FALSE
5667,A,Ship,5,3,$280,4,medium,F,4,5192,TRUE
5668,B,Ship,4,5,$229,2,medium,F,1,4869,TRUE
5669,C,Ship,3,2,$225,3,low,M,3,5529,TRUE
5670,F,Ship,3,5,$149,3,low,F,7,4357,TRUE
5671,D,Ship,5,5,$200,3,low,M,6,4401,FALSE
5672,F,Ship,4,2,$246,3,low,F,1,5815,FALSE
5673,A,Ship,3,4,$150,2,low,M,1,4742,TRUE
5674,B,Ship,3,1,$175,3,medium,F,9,5797,TRUE
5675,C,Ship,3,5,$141,3,medium,M,10,5775,TRUE
5676,F,Ship,3,4,$102,3,medium,M,9,4111,TRUE
5677,D,Ship,3,1,$209,3,low,F,8,4367,TRUE
5678,F,Ship,4,4,$287,6,medium,M,6,5282,TRUE
5679,A,Ship,3,5,$212,2,low,F,3,5761,FALSE
5680,B,Ship,3,4,$205,3,high,F,1,5407,TRUE
5681,C,Ship,3,1,$180,2,high,M,10,4200,TRUE
5682,F,Ship,5,4,$229,3,low,M,1,5660,TRUE
5683,D,Ship,2,2,$182,3,high,M,6,4112,FALSE
5684,F,Ship,4,1,$183,3,medium,F,4,4789,TRUE
5685,A,Ship,3,1,$212,3,medium,M,10,5759,TRUE
5686,B,Ship,4,3,$235,6,medium,M,2,4689,TRUE
5687,C,Ship,5,5,$210,4,medium,M,9,5081,FALSE
5688,F,Ship,5,2,$111,4,medium,F,7,4424,TRUE
5689,D,Ship,5,1,$270,4,medium,F,7,5149,TRUE
5690,F,Ship,4,4,$135,2,low,M,4,4684,TRUE
5691,A,Ship,3,5,$143,3,low,F,10,5021,TRUE
5692,B,Ship,4,1,$216,2,low,F,5,5059,TRUE
5693,C,Ship,5,1,$136,3,low,M,10,5308,TRUE
5694,F,Ship,3,3,$145,3,low,F,10,5696,TRUE
5695,D,Ship,5,3,$142,4,medium,F,4,5116,FALSE
5696,F,Ship,4,2,$175,3,medium,M,7,4874,FALSE
5697,A,Ship,3,1,$183,2,low,M,5,5329,FALSE
5698,B,Ship,3,1,$191,5,medium,M,2,4956,FALSE
5699,C,Ship,3,4,$247,3,low,F,9,4157,TRUE
5700,F,Ship,3,1,$170,2,low,F,2,5662,FALSE
5701,D,Ship,3,2,$275,2,low,F,5,5393,FALSE
5702,F,Ship,4,4,$147,4,low,F,8,5882,TRUE
5703,A,Ship,4,4,$188,3,low,M,6,4174,FALSE
5704,B,Ship,5,5,$248,2,low,M,4,5587,TRUE
5705,C,Ship,3,1,$245,2,low,F,8,4594,FALSE
5706,F,Ship,4,5,$164,3,high,M,3,4454,TRUE
5707,D,Ship,4,2,$260,3,medium,F,3,4661,FALSE
5708,F,Ship,4,4,$149,2,medium,F,9,4605,TRUE
5709,A,Ship,3,2,$174,3,low,M,3,4132,TRUE
5710,B,Ship,4,5,$242,2,low,F,1,5682,FALSE
5711,C,Ship,4,1,$134,3,medium,M,7,4933,FALSE
5712,F,Ship,4,5,$189,3,medium,F,3,5193,TRUE
5713,D,Ship,6,5,$263,7,high,M,7,5216,FALSE
5714,F,Ship,5,2,$280,3,high,F,8,5858,FALSE
5715,A,Ship,4,2,$258,7,medium,M,3,4538,FALSE
5716,B,Ship,4,4,$179,3,high,F,1,5242,FALSE
5717,C,Ship,5,1,$250,4,medium,M,10,5306,FALSE
5718,F,Ship,4,4,$212,2,medium,M,5,4774,FALSE
5719,D,Ship,4,3,$236,3,low,M,4,4257,FALSE
5720,F,Ship,3,1,$239,8,high,M,6,5023,FALSE
5721,A,Ship,6,3,$305,4,low,M,3,1276,TRUE
5722,B,Ship,6,3,$309,4,low,M,5,1712,TRUE
5723,C,Ship,6,3,$266,4,medium,M,8,1983,FALSE
5724,F,Ship,4,5,$233,4,low,F,6,1495,TRUE
5725,D,Ship,5,5,$287,4,low,M,4,1509,FALSE
5726,F,Ship,6,2,$268,4,low,F,7,1274,TRUE
5727,A,Ship,6,4,$290,4,medium,M,10,1366,TRUE
5728,B,Road,7,5,$291,4,high,M,6,1135,TRUE
5729,C,Road,5,5,$227,5,medium,F,3,1687,TRUE
5730,F,Road,4,5,$175,3,medium,F,5,4194,TRUE
5731,D,Road,3,3,$183,2,low,M,6,5015,TRUE
5732,F,Road,3,4,$191,5,medium,F,4,4243,FALSE
5733,A,Road,3,4,$247,3,low,M,10,5749,FALSE
5734,B,Road,3,2,$170,2,low,M,2,4214,FALSE
5735,C,Road,3,5,$275,2,low,F,7,4619,TRUE
5736,F,Road,4,3,$147,4,low,F,7,4865,TRUE
5737,D,Road,4,5,$188,3,low,M,4,4632,TRUE
5738,F,Road,5,1,$248,2,low,F,6,5281,TRUE
5739,A,Road,3,3,$245,2,low,F,4,4719,FALSE
5740,B,Road,4,5,$164,3,high,M,7,4657,TRUE
5741,C,Road,4,1,$260,3,medium,M,9,5886,FALSE
5742,F,Road,4,2,$149,2,medium,M,8,5460,FALSE
5743,D,Road,3,1,$174,3,low,M,7,4318,FALSE
5744,F,Road,4,1,$242,2,low,F,2,5825,TRUE
5745,A,Road,4,5,$134,3,medium,F,4,5423,TRUE
5746,B,Road,4,3,$189,3,medium,F,4,4410,TRUE
5747,C,Road,6,5,$263,7,high,M,9,5991,FALSE
5748,F,Road,5,3,$280,3,high,M,2,5273,TRUE
5749,D,Road,4,4,$258,7,medium,M,8,5069,TRUE
5750,F,Flight,4,1,$179,3,high,M,5,4129,TRUE
5751,A,Flight,5,4,$250,4,medium,M,4,4531,TRUE
5752,B,Flight,4,1,$212,2,medium,F,7,5864,TRUE
5753,C,Flight,4,4,$236,3,low,M,10,4347,FALSE
5754,F,Flight,3,4,$239,8,high,M,4,4192,TRUE
5755,D,Flight,6,4,$305,4,low,F,7,1172,FALSE
5756,F,Flight,6,1,$309,4,low,F,6,1866,FALSE
5757,A,Flight,6,1,$266,4,medium,F,2,1862,FALSE
5758,B,Flight,4,2,$233,4,low,M,7,1861,TRUE
5759,C,Flight,5,1,$287,4,low,F,4,1579,TRUE
5760,F,Flight,6,5,$268,4,low,F,2,1324,TRUE
5761,D,Flight,6,1,$290,4,medium,M,6,1505,FALSE
5762,F,Flight,7,3,$244,5,medium,F,10,1913,FALSE
5763,A,Flight,6,3,$245,4,low,M,2,1158,FALSE
5764,B,Flight,5,4,$219,5,low,M,5,1867,TRUE
5765,C,Flight,6,3,$257,4,low,F,4,1358,FALSE
5766,F,Flight,6,1,$250,4,low,F,2,1783,FALSE
5767,D,Flight,6,1,$249,4,medium,M,2,1189,FALSE
5768,F,Flight,5,4,$259,5,low,F,2,1627,FALSE
5769,A,Flight,6,4,$266,4,low,M,3,1503,FALSE
5770,B,Flight,6,5,$244,4,medium,F,4,1648,FALSE
5771,C,Flight,4,2,$239,6,low,F,7,1934,TRUE
5772,F,Ship,4,2,$270,5,low,M,6,1520,TRUE
5773,D,Ship,6,4,$270,4,low,F,10,1199,FALSE
5774,F,Ship,6,5,$257,4,medium,F,1,1957,FALSE
5775,A,Ship,4,2,$243,5,medium,F,4,1633,FALSE
5776,B,Ship,5,2,$264,6,medium,M,10,1659,FALSE
5777,C,Ship,5,4,$224,6,low,F,6,1049,FALSE
5778,F,Ship,6,5,$304,4,low,M,8,1755,FALSE
5779,D,Ship,4,2,$243,5,medium,F,8,1922,TRUE
5780,F,Ship,6,3,$272,4,low,M,5,1355,FALSE
5781,A,Ship,5,4,$269,5,low,F,4,1537,FALSE
5782,B,Ship,7,3,$267,4,low,M,7,1384,TRUE
5783,C,Ship,6,1,$251,4,low,M,2,1679,TRUE
5784,F,Ship,4,3,$249,5,low,F,3,1012,FALSE
5785,D,Ship,7,2,$284,4,low,F,6,1550,FALSE
5786,F,Ship,4,1,$254,5,medium,F,3,1880,FALSE
5787,A,Ship,6,5,$269,4,low,M,5,1264,FALSE
5788,B,Ship,7,5,$265,4,low,F,9,1393,TRUE
5789,C,Ship,5,3,$220,6,medium,F,6,1830,FALSE
5790,F,Ship,4,4,$217,5,medium,F,4,1503,TRUE
5791,D,Ship,7,4,$285,4,medium,F,2,1017,FALSE
5792,F,Ship,5,1,$265,5,medium,F,3,1514,FALSE
5793,A,Ship,5,1,$240,5,medium,M,1,1200,TRUE
5794,B,Ship,5,5,$247,3,low,M,1,5226,TRUE
5795,C,Ship,5,4,$179,6,medium,F,8,4615,FALSE
5796,F,Ship,4,5,$142,2,medium,F,9,5425,FALSE
5797,D,Ship,4,3,$207,5,high,F,6,4145,TRUE
5798,F,Ship,3,1,$183,3,medium,M,7,5849,FALSE
5799,A,Ship,4,3,$167,2,medium,F,2,5544,TRUE
5800,B,Ship,4,3,$175,3,low,F,2,5208,TRUE
5801,C,Ship,3,5,$183,2,low,M,8,5881,FALSE
5802,F,Ship,6,5,$176,3,low,F,10,5307,TRUE
5803,D,Ship,3,4,$187,3,low,M,7,5417,TRUE
5804,F,Ship,4,5,$143,3,medium,F,8,4142,FALSE
5805,A,Ship,4,3,$136,3,low,F,7,5976,TRUE
5806,B,Ship,3,3,$178,3,low,M,3,5396,FALSE
5807,C,Ship,4,4,$208,2,medium,F,6,4983,FALSE
5808,F,Ship,4,1,$171,2,medium,M,1,5635,TRUE
5809,D,Ship,2,1,$197,4,low,M,5,4614,TRUE
5810,F,Ship,5,1,$179,3,low,F,7,5814,TRUE
5811,A,Ship,6,4,$197,5,medium,M,4,5889,FALSE
5812,B,Ship,5,4,$285,2,low,M,2,4505,FALSE
5813,C,Ship,6,1,$141,5,low,F,9,5113,TRUE
5814,F,Ship,4,5,$274,3,medium,M,5,4773,TRUE
5815,D,Ship,5,2,$287,3,medium,F,3,4903,FALSE
5816,F,Ship,5,3,$218,3,medium,F,4,4198,FALSE
5817,A,Ship,3,1,$213,3,high,F,6,5535,TRUE
5818,B,Ship,2,1,$207,4,low,M,1,5742,TRUE
5819,C,Ship,5,5,$273,4,low,M,7,4064,FALSE
5820,F,Ship,3,3,$185,3,low,M,6,5995,FALSE
5821,D,Ship,3,1,$192,3,low,F,4,5179,TRUE
5822,F,Ship,4,4,$276,2,medium,F,3,4306,FALSE
5823,A,Ship,5,2,$229,2,medium,M,1,5724,TRUE
5824,B,Ship,3,5,$248,2,high,M,3,5287,FALSE
5825,C,Ship,3,4,$267,3,high,F,2,5204,FALSE
5826,F,Ship,4,4,$272,3,low,M,9,5458,TRUE
5827,D,Ship,3,3,$153,3,low,M,8,5487,TRUE
5828,F,Ship,4,2,$246,4,medium,M,7,5056,FALSE
5829,A,Ship,3,3,$261,4,low,F,9,4529,FALSE
5830,B,Ship,4,5,$207,2,low,F,3,5270,FALSE
5831,C,Ship,3,1,$133,3,medium,M,8,4634,TRUE
5832,F,Ship,3,5,$269,5,low,M,6,5932,FALSE
5833,D,Ship,4,3,$251,3,high,M,8,5986,FALSE
5834,F,Ship,4,2,$252,4,low,F,3,4956,FALSE
5835,A,Ship,3,5,$135,2,low,F,4,5275,FALSE
5836,B,Ship,4,3,$273,4,medium,F,1,4585,TRUE
5837,C,Ship,4,2,$168,3,low,M,3,4653,FALSE
5838,F,Ship,2,4,$233,2,medium,F,6,4758,TRUE
5839,D,Ship,3,2,$133,2,low,F,3,4677,FALSE
5840,F,Ship,3,5,$147,4,high,M,10,5164,FALSE
5841,A,Ship,5,2,$249,6,low,M,8,5633,TRUE
5842,B,Ship,6,3,$259,4,low,F,3,4117,FALSE
5843,C,Ship,4,2,$194,3,low,F,10,5171,FALSE
5844,F,Ship,4,5,$134,6,medium,M,7,4881,FALSE
5845,D,Ship,3,4,$98,3,low,M,5,4432,TRUE
5846,F,Ship,5,1,$138,3,low,M,10,5612,FALSE
5847,A,Ship,5,5,$193,5,high,F,4,5087,FALSE
5848,B,Ship,5,5,$184,3,medium,M,7,4742,TRUE
5849,C,Ship,4,4,$172,3,medium,M,7,5098,TRUE
5850,F,Ship,4,3,$248,2,medium,M,2,4701,FALSE
5851,D,Ship,2,4,$114,5,high,F,5,5334,FALSE
5852,F,Ship,4,5,$201,2,high,F,2,4657,TRUE
5853,A,Ship,3,4,$206,4,medium,M,2,4372,TRUE
5854,B,Ship,6,1,$185,4,high,F,10,5254,FALSE
5855,C,Ship,5,2,$272,3,high,M,5,4972,TRUE
5856,F,Ship,4,3,$266,2,medium,M,6,4286,FALSE
5857,D,Ship,3,4,$203,2,low,M,9,5735,TRUE
5858,F,Ship,4,3,$218,5,low,M,2,4823,FALSE
5859,A,Ship,2,5,$279,3,low,F,8,4632,TRUE
5860,B,Ship,4,4,$159,2,low,M,4,4648,FALSE
5861,C,Ship,5,3,$138,3,low,F,5,5687,FALSE
5862,F,Ship,3,2,$224,3,low,F,7,5896,TRUE
5863,D,Ship,3,3,$269,3,low,M,4,4309,TRUE
5864,F,Ship,5,3,$121,2,medium,F,4,5231,FALSE
5865,A,Road,4,3,$134,2,low,F,2,4522,TRUE
5866,B,Road,4,5,$259,3,medium,M,4,5344,FALSE
5867,C,Road,4,4,$206,2,high,M,8,4093,FALSE
5868,F,Road,3,1,$209,2,low,M,6,5701,FALSE
5869,D,Road,3,3,$145,3,medium,M,1,5709,TRUE
5870,F,Road,5,2,$164,2,medium,M,8,5717,TRUE
5871,A,Road,3,1,$133,3,medium,M,6,5464,FALSE
5872,B,Road,3,2,$178,3,low,F,5,5686,TRUE
5873,C,Road,4,3,$175,2,low,M,3,4200,TRUE
5874,F,Road,2,4,$242,3,medium,M,8,4898,TRUE
5875,D,Road,4,2,$202,3,low,M,8,4575,FALSE
5876,F,Road,4,3,$176,2,low,F,6,5149,FALSE
5877,A,Road,4,3,$203,4,low,F,1,5274,TRUE
5878,B,Road,4,3,$207,4,low,M,5,5008,FALSE
5879,C,Road,4,2,$268,3,medium,M,1,4927,TRUE
5880,F,Road,3,3,$244,3,low,M,6,5109,TRUE
5881,D,Road,3,5,$134,3,low,F,10,4693,TRUE
5882,F,Road,3,4,$143,3,low,F,1,4392,FALSE
5883,A,Road,3,5,$246,3,low,F,2,5556,FALSE
5884,B,Road,3,2,$157,2,low,F,7,5228,TRUE
5885,C,Road,3,3,$169,3,low,M,10,5147,TRUE
5886,F,Road,4,5,$231,3,low,F,6,4449,FALSE
5887,D,Flight,3,3,$262,5,medium,F,1,5043,TRUE
5888,F,Flight,3,2,$227,2,medium,M,10,4290,TRUE
5889,A,Flight,5,2,$162,4,medium,M,7,5477,FALSE
5890,B,Flight,5,5,$148,2,medium,M,4,4812,TRUE
5891,C,Flight,3,4,$138,2,medium,F,8,4837,TRUE
5892,F,Flight,3,3,$255,2,medium,F,3,4824,TRUE
5893,D,Flight,3,5,$218,3,low,M,2,5841,TRUE
5894,F,Flight,4,1,$260,4,low,M,2,4091,FALSE
5895,A,Flight,4,3,$142,2,low,F,5,5502,FALSE
5896,B,Flight,4,5,$257,3,medium,M,5,4180,TRUE
5897,C,Flight,4,2,$252,3,low,F,1,4176,TRUE
5898,F,Flight,5,4,$151,5,low,F,1,4122,TRUE
5899,D,Flight,4,3,$190,5,low,F,8,4736,TRUE
5900,F,Flight,4,5,$137,2,low,M,7,4068,TRUE
5901,A,Flight,4,4,$164,2,low,M,7,5456,TRUE
5902,B,Flight,3,5,$271,3,low,F,9,5328,TRUE
5903,C,Flight,3,5,$162,2,high,M,1,4573,FALSE
5904,F,Flight,2,4,$221,5,medium,M,4,4034,FALSE
5905,D,Flight,5,4,$202,3,low,F,3,4559,FALSE
5906,F,Flight,4,5,$143,2,low,M,1,5836,TRUE
5907,A,Flight,3,5,$254,3,low,M,6,4703,TRUE
5908,B,Flight,4,3,$96,4,medium,M,1,4984,FALSE
5909,C,Ship,3,3,$199,5,medium,F,10,4847,FALSE
5910,F,Ship,4,1,$198,4,low,F,5,5182,TRUE
5911,D,Ship,4,3,$257,3,low,F,2,5198,FALSE
5912,F,Ship,3,2,$149,5,medium,F,9,4310,TRUE
5913,A,Ship,5,1,$193,4,medium,F,10,5280,TRUE
5914,B,Ship,3,5,$284,2,low,M,10,5619,TRUE
5915,C,Ship,4,5,$205,4,medium,F,5,5264,TRUE
5916,F,Ship,5,5,$185,3,low,M,5,4520,FALSE
5917,D,Ship,5,4,$268,3,high,F,10,4955,TRUE
5918,F,Ship,5,1,$252,3,medium,M,2,4339,TRUE
5919,A,Ship,4,3,$196,2,low,F,5,5656,TRUE
5920,B,Ship,3,3,$149,3,low,M,6,4654,TRUE
5921,C,Ship,5,5,$154,2,medium,M,3,4669,TRUE
5922,F,Ship,5,4,$267,2,medium,M,4,4053,TRUE
5923,D,Ship,3,3,$208,2,medium,F,5,5661,TRUE
5924,F,Ship,5,5,$275,3,medium,M,9,4287,FALSE
5925,A,Ship,4,2,$272,2,low,F,1,5939,FALSE
5926,B,Ship,6,5,$280,3,low,M,9,4074,FALSE
5927,C,Ship,6,3,$202,3,low,F,5,4930,TRUE
5928,F,Ship,5,2,$184,3,medium,F,8,4581,TRUE
5929,D,Ship,5,2,$244,5,medium,F,7,5515,TRUE
5930,F,Ship,4,4,$138,5,low,M,10,5401,TRUE
5931,A,Ship,4,3,$109,2,medium,F,4,5407,TRUE
5932,B,Ship,2,5,$189,5,low,M,3,5292,TRUE
5933,C,Ship,3,2,$170,3,low,M,9,4069,TRUE
5934,F,Ship,3,1,$183,2,medium,F,10,4598,TRUE
5935,D,Ship,3,4,$263,6,high,M,3,4429,TRUE
5936,F,Ship,4,1,$271,4,low,M,9,5853,FALSE
5937,A,Ship,6,3,$202,4,medium,F,3,4496,FALSE
5938,B,Ship,3,3,$265,3,medium,F,8,5070,TRUE
5939,C,Ship,4,1,$220,3,medium,F,6,4472,TRUE
5940,F,Ship,4,4,$274,2,low,F,7,4873,FALSE
5941,D,Ship,4,5,$212,2,medium,M,10,4552,TRUE
5942,F,Ship,4,2,$244,3,high,M,1,5559,FALSE
